R,G,B
174.32,184.37,138.91
178.6,186.24,140.66
172.86,185.4,136.81
179.03,185.96,138.8
194.77,198.65,160.53
247.46,246.83,199.8
246.45454545454547,245.9181818181818,196.4
245.65,243.73,192.53
244.81,242.22,190.45
245.02,241.46,188.02
245.38,239.56,184.48
245.45,239.28,183.59
245.31,237.43,179.21
243.27,233.4,172.42
252.71818181818182,253.3181818181818,240.11818181818182
252.27,253.04,239.47
252.0,252.99,239.0
254.02,252.33,239.27
254.08,252.22,237.22
253.76,252.3,235.56
253.5,252.5,234.26
253.5818181818182,252.4,234.94545454545454
253.2,252.2,233.4
253.68,252.32,232.86
252.45,251.3,228.65
221.17,201.02,183.69
205.35,74.97,104.33
224.53,52.25,96.23
222.33636363636364,46.27272727272727,91.99090909090908
212.91,55.11,94.01
220.28,207.83,184.68
251.0,249.69,220.29
193.4,196.85,166.59
162.0,174.55,132.57
170.75,183.88,138.74
161.97,178.62,135.79
161.7,178.15454545454546,136.75454545454545
153.24,174.26,134.92
152.78,172.58,133.03
153.47,172.78,132.45
127.93,138.88,112.66
246.27,245.02,199.81
247.54,246.22,200.95
246.15454545454546,245.66363636363636,195.9909090909091
245.62,244.02,190.32
245.2,241.4,188.32
245.82,238.85,182.79
245.68,239.01,183.95
245.0,238.15,183.15
244.99,236.49,179.49
243.58,233.58,172.78
253.36363636363637,252.61818181818182,237.21818181818182
252.9,252.1,237.5
253.11,252.31,238.51
253.84,252.11,237.11
253.74,252.72,234.54
253.09,252.1,232.68
253.07,251.63,231.03
252.8,251.21818181818182,229.3909090909091
254.0,252.27,232.31
253.15,250.55,227.39
235.45,224.33,198.27
202.83,73.03,100.17
226.62,50.95,98.85
224.64,41.01,93.02
224.98181818181817,39.31818181818182,90.99090909090908
224.21,42.09,92.37
206.08,151.01,146.53
239.29,240.22,209.78
158.6,163.89,128.3
172.3,182.27,137.81
150.16,171.55,133.19
145.81,168.39,131.26
151.3,173.02727272727273,133.4181818181818
139.93,166.39,132.14
140.56,166.09,129.78
140.31,164.48,129.93
149.43,166.1,133.84
246.69,245.74,199.83
247.38,245.52,196.65
246.55454545454546,244.23636363636365,193.8090909090909
245.73,241.66,187.95
245.36,239.54,184.28
244.72,237.28,181.01
245.4,238.48,183.48
244.2,237.25,182.28
245.16,236.66,179.9
243.7,233.7,173.14
253.6909090909091,252.6909090909091,234.29090909090908
253.59,252.39,234.79
253.46,252.06,235.22
252.9,251.78,233.56
252.56,251.56,231.19
252.32,251.6,229.94
251.93,250.61,225.93
252.79090909090908,250.61818181818182,228.54545454545453
253.36,250.79,231.09
252.35,249.7,221.27
207.98,126.5,129.4
224.94,53.54,98.75
226.04,39.86,93.09
224.39,34.62,90.81
221.84545454545454,35.03636363636364,89.72727272727273
222.19,35.96,92.67
199.66,124.52,132.83
188.51,192.06,163.97
196.23,195.42,147.23
147.22,167.02,131.59
140.07,164.19,129.87
149.68,170.18,132.83
142.3090909090909,167.51818181818183,131.29090909090908
138.95,164.59,129.0
143.65,165.96,131.68
146.31,167.02,131.37
146.69,163.27,130.52
247.67,245.63,197.4
247.14,245.13,195.88
245.97272727272727,242.3272727272727,190.12727272727273
245.63,238.71,181.17
245.29,236.09,177.04
246.25,237.03,179.73
244.6,237.38,182.24
244.45,237.45,182.45
244.92,236.42,179.82
243.2,233.2,172.8
253.0090909090909,252.0090909090909,232.0090909090909
252.79,251.79,232.35
252.24,251.3,230.69
252.16,251.17,230.55
251.99,251.28,227.95
251.95,250.03,225.59
251.32,249.65,223.76
252.6,250.21818181818182,228.98181818181817
252.68,250.63,228.05
239.32,232.87,205.29
203.72,60.06,93.92
225.25,44.06,94.45
224.14,35.48,89.48
222.94,33.38,89.03
156.22727272727272,29.6,69.7090909090909
221.31,33.71,92.35
197.07,116.74,129.99
176.13,178.68,148.02
185.97,189.4,145.01
143.48,166.17,132.05
148.13,168.91,132.1
129.75,159.56,128.18
129.12727272727273,159.34545454545454,127.86363636363636
135.41,161.02,127.52
134.24,159.57,128.48
138.61,164.07,129.71
135.51,155.98,123.65
246.2,243.39,194.35
247.19,242.68,194.47
245.8181818181818,240.75454545454545,185.86363636363637
193.32,188.32,143.94
186.14,181.68,137.91
245.46,235.52,178.7
245.73,236.25,179.24
244.88,237.59,180.79
245.04,236.02,179.82
243.23,234.31,173.85
252.6090909090909,251.6090909090909,231.3181818181818
252.37,251.52,230.68
251.56,250.96,228.76
252.38,251.04,230.03
251.76,250.54,226.7
251.43,250.05,222.9
251.11,250.0,221.56
252.6818181818182,250.92727272727274,228.0909090909091
251.93,250.53,225.86
206.84,172.59,159.83
223.71,49.84,99.18
224.57,38.5,95.61
224.98,32.42,91.9
222.18,28.58,88.61
221.02727272727273,27.818181818181817,87.32727272727273
223.26,31.39,92.25
203.56,148.13,148.3
167.66,172.06,136.49
172.53,180.1,140.49
155.09,169.13,132.32
145.7,166.63,130.84
131.36,159.42,129.3
137.5090909090909,163.24545454545455,129.9181818181818
128.69,157.78,128.13
132.47,159.51,127.43
133.68,160.81,126.49
134.25,151.79,121.7
245.77,243.08,193.85
248.09,242.34,190.71
235.6727272727273,229.8909090909091,175.1909090909091
127.03,125.12,98.34
163.63,161.22,123.89
223.11,217.32,163.09
245.56,236.41,178.91
245.11,237.46,179.73
244.37,235.59,177.93
244.57,234.77,174.11
251.9090909090909,251.6,228.3272727272727
252.18,251.18,230.76
251.68,251.16,228.52
252.48,250.66,227.38
251.88,250.11,224.8
251.68,249.88,224.56
251.97,250.64,226.95
252.85454545454544,250.85454545454544,229.8
251.77,250.82,225.44
204.51,134.69,138.02
226.89,42.79,101.07
223.43,30.29,90.51
221.53,24.74,86.38
221.9,25.34,87.18
223.44545454545454,25.29090909090909,87.71818181818182
201.32,32.13,84.42
221.63,210.13,190.01
158.34,164.33,127.3
166.13,175.04,137.1
151.22,165.25,131.75
149.97,166.31,131.85
138.98,162.32,129.98
135.3181818181818,160.4090909090909,128.6818181818182
134.77,159.86,127.32
132.89,159.0,128.41
137.82,162.37,128.73
140.09,152.21,119.87
246.91,242.91,191.49
247.46,241.67,189.82
189.4090909090909,187.26363636363635,145.4909090909091
180.23,175.62,139.54
172.52,170.74,130.6
198.02,192.64,148.31
244.51,235.32,176.65
245.3,236.95,179.1
244.73,236.23,179.63
243.97,234.11,174.83
252.1090909090909,250.8,225.34545454545454
252.48,250.69,229.54
252.14,250.49,226.77
251.95,250.19,224.63
251.96,250.41,224.06
251.57,250.24,222.71
252.86,251.01,229.33
252.29090909090908,250.6818181818182,228.65454545454546
251.86,250.08,223.6
199.31,106.89,122.4
223.68,35.13,94.69
223.67,27.45,90.06
222.47,21.93,86.8
221.44,21.6,84.52
219.52727272727273,22.90909090909091,85.43636363636364
194.69,114.32,125.47
247.65,245.57,210.98
124.43,128.97,105.14
137.34,155.8,125.51
142.13,160.52,129.13
152.27,167.94,132.48
146.91,164.94,131.96
142.42727272727274,161.57272727272726,128.98181818181817
140.37,160.47,130.32
133.97,158.68,127.93
138.77,160.11,125.32
153.4,161.09,124.44
246.5,240.48,185.68
168.66,166.96,136.85
148.6,146.74545454545455,116.74545454545455
182.49,176.7,132.28
228.9,218.87,162.01
244.89,233.77,173.61
245.03,236.02,177.09
244.83,237.82,180.85
244.92,236.7,179.58
244.44,233.94,177.54
252.01818181818183,250.45454545454547,224.3090909090909
252.7,250.7,228.06
251.47,249.93,223.71
251.0,249.58,221.98
250.4,249.52,220.24
247.49,246.98,218.49
251.38,250.39,225.3
252.5090909090909,249.95454545454547,224.52727272727273
250.69,250.35,220.66
202.78,122.86,132.41
224.36,30.29,92.37
222.12,24.02,87.24
221.98,20.0,85.47
220.17,20.85,82.8
181.9,62.4,93.9
193.06,190.6,162.04
175.43,169.34,132.53
162.0,169.06,132.66
139.43,158.08,128.99
142.56,160.06,129.98
147.77,163.1,130.77
150.86,166.3,133.72
144.56363636363636,162.95454545454547,130.42727272727274
135.95,158.81,126.52
137.57,157.99,127.26
132.9,153.0,124.35
192.87,191.83,147.2
247.65,239.89,182.69
103.47,104.45,88.94
2.9454545454545453,10.845454545454546,28.01818181818182
3.03,14.87,29.32
11.85,21.27,32.77
126.8,125.32,97.97
