R,G,B
97.64,45.0,23.91
93.52727272727273,44.9,27.654545454545456
65.64,29.13,21.86
26.79,7.6,4.27
15.93,2.15,1.17
11.16,0.46,0.31
7.0,0.29,1.61
7.7272727272727275,1.1636363636363636,2.5454545454545454
117.07,81.55,28.36
122.88,61.82,10.19
162.55,102.08,44.49
213.19,172.03,95.48
248.27,209.46,52.15
234.2,198.4,39.36
74.7909090909091,65.80909090909091,63.42727272727273
31.32,10.88,5.0
55.72,21.9,10.04
62.21,23.99,12.36
18.09,7.17,5.46
157.79,89.67,61.74
99.87272727272727,75.51818181818182,66.22727272727273
82.76,52.02,40.67
170.49,95.51,61.74
194.98,124.63,79.64
150.34,78.41,48.24
102.65,49.78,27.84
86.93636363636364,42.85454545454545,26.336363636363636
117.14,62.62,42.13
74.72,38.44,23.43
34.73,14.09,8.7
13.8,1.56,1.39
6.78,0.53,0.39
8.209090909090909,0.5727272727272728,0.9727272727272728
20.95,7.0,4.6
205.9,179.85,69.16
200.24,162.29,88.03
202.86,142.67,34.66
237.54,182.63,40.97
228.97,174.27,34.22
60.56363636363636,48.345454545454544,46.472727272727276
45.58,17.79,9.08
87.34,38.76,20.89
98.55,44.4,29.22
25.12,8.6,5.86
109.89,56.07,37.67
109.94545454545455,62.25454545454546,48.41818181818182
136.48,87.09,70.32
136.72,69.54,40.77
72.0,31.34,17.88
75.44,30.53,16.98
59.55,24.38,8.86
45.6,20.472727272727273,17.254545454545454
59.09,22.48,17.3
69.36,30.0,15.46
60.84,29.85,15.02
42.67,18.05,9.78
11.79,1.48,1.05
8.518181818181818,0.24545454545454545,0.2818181818181818
9.07,1.01,3.01
86.7,62.28,31.36
153.47,101.15,22.64
151.34,118.2,57.54
191.41,159.17,105.26
209.83,176.33,108.77
60.8,45.481818181818184,40.58181818181818
71.29,31.8,19.22
132.77,67.66,44.96
134.34,63.43,41.13
99.97,49.7,31.82
125.51,67.35,44.61
90.05454545454545,38.89090909090909,20.836363636363636
56.08,20.09,8.64
43.99,11.66,3.68
94.05,40.86,25.87
57.77,23.34,11.15
75.16,26.65,15.84
166.77272727272728,127.67272727272727,103.94545454545455
49.25,20.97,16.53
76.81,22.37,17.19
85.07,38.74,20.16
107.38,52.63,30.76
58.7,27.91,17.47
8.10909090909091,1.2363636363636363,1.3545454545454545
27.9,8.02,6.92
76.73,39.89,17.99
194.2,163.76,92.41
225.85,191.63,63.7
195.29,118.67,18.64
230.37,166.63,29.39
71.55454545454545,52.39090909090909,45.28181818181818
75.58,35.9,21.89
146.61,78.96,52.8
157.23,81.95,52.22
171.17,99.57,69.26
188.0,117.83,81.78
162.27272727272728,90.48181818181818,54.6
111.73,48.12,26.7
117.54,60.0,31.56
137.83,82.98,55.69
84.33,39.47,27.64
109.24,48.63,34.63
232.55454545454546,214.1090909090909,205.4909090909091
89.68,58.03,54.52
165.51,89.03,81.74
121.9,65.0,46.11
168.82,99.96,69.8
119.79,68.35,45.15
27.59090909090909,10.209090909090909,6.3
41.82,15.13,9.22
46.84,20.67,10.61
198.5,161.79,58.4
205.18,145.76,31.94
216.26,143.54,28.59
220.05,153.98,23.49
92.17272727272727,67.88181818181818,61.2
68.89,30.74,20.44
130.94,63.66,42.65
136.47,67.02,44.91
65.56,29.73,20.15
115.46,63.91,39.67
143.20909090909092,72.7090909090909,48.04545454545455
120.51,53.82,28.79
142.32,72.09,40.65
150.76,102.79,73.49
107.55,56.77,39.61
142.55,76.69,61.18
240.97272727272727,226.29090909090908,221.85454545454544
106.65,73.04,71.73
180.4,110.12,103.67
153.22,93.04,68.39
205.13,147.85,109.61
126.84,76.28,52.31
45.64545454545455,19.636363636363637,11.636363636363637
80.62,36.72,21.55
86.95,60.48,28.51
142.75,115.26,56.1
221.16,185.08,103.62
233.29,195.13,107.82
219.96,175.23,93.4
111.7909090909091,89.32727272727273,81.64545454545454
47.89,22.28,16.22
93.0,43.25,26.8
83.61,35.99,22.51
25.53,12.65,7.39
143.25,80.17,57.63
135.20909090909092,107.45454545454545,97.82727272727273
142.74,79.72,51.53
119.61,57.4,31.24
112.06,53.56,32.43
97.28,45.12,25.19
100.42,41.28,30.64
212.33636363636364,191.64545454545456,180.33636363636364
51.68,12.97,13.57
127.9,51.12,41.83
144.59,79.8,51.62
135.14,75.57,48.82
90.48,50.88,30.64
102.7909090909091,50.04545454545455,30.245454545454546
81.91,38.92,23.12
196.14,150.97,41.14
218.3,199.06,112.06
121.72,108.43,88.54
207.4,161.68,91.41
202.22,152.31,85.61
106.10909090909091,77.77272727272727,70.03636363636363
88.32,69.11,62.87
51.94,21.36,13.17
59.59,26.78,16.34
35.68,18.66,11.56
161.88,98.85,72.27
70.5,62.92727272727273,61.59090909090909
137.76,78.17,51.07
160.49,90.01,58.68
139.39,71.69,46.53
113.33,54.85,33.01
84.68,37.43,23.53
90.35454545454546,53.75454545454546,47.92727272727273
113.12,54.32,36.75
103.8,53.58,35.89
75.77,37.96,22.58
53.84,26.89,13.0
46.62,20.34,8.87
73.9090909090909,42.00909090909091,15.254545454545454
181.92,148.86,39.17
243.3,204.76,58.34
116.36,106.84,71.21
77.19,74.23,65.44
88.92,81.57,70.74
186.26,119.38,30.4
113.64545454545454,75.17272727272727,69.75454545454545
133.46,104.98,96.02
40.9,25.24,24.0
53.1,21.99,14.63
37.4,16.44,10.88
131.14,65.14,42.82
57.41818181818182,21.454545454545453,13.50909090909091
120.31,57.81,36.69
153.9,77.95,48.97
164.43,96.09,61.86
93.6,44.31,25.38
82.5,40.16,25.29
94.94545454545455,48.127272727272725,32.663636363636364
79.58,44.21,26.75
54.24,25.55,15.08
86.93,74.24,55.93
91.06,79.47,53.43
100.45,87.43,48.47
160.55454545454546,141.1,70.4
242.17,199.63,40.95
243.16,209.44,69.36
92.09,86.54,66.94
142.73,139.1,124.63
92.92,84.83,78.13
107.32,53.88,18.04
118.43636363636364,77.9090909090909,74.42727272727272
119.57,86.72,83.15
120.57,95.31,83.54
45.4,31.53,27.99
28.08,12.25,8.62
35.81,15.63,9.73
54.0,22.554545454545455,13.00909090909091
66.25,29.82,15.9
85.34,39.42,20.38
91.75,43.16,21.95
64.01,24.28,13.36
45.78,20.56,9.59
39.18181818181818,16.69090909090909,6.972727272727273
69.45,54.24,44.88
150.3,137.32,110.32
130.47,115.85,93.96
107.11,108.95,98.55
75.31,74.23,65.59
158.3909090909091,143.97272727272727,92.42727272727272
235.36,183.5,41.83
220.86,163.77,46.72
164.67,143.97,71.62
154.66,145.07,101.52
58.43,52.66,49.54
182.25,139.37,36.45
145.2,115.00909090909092,102.18181818181819
146.65,117.64,107.16
121.85,98.42,87.34
152.13,131.03,115.4
102.68,94.02,84.78
61.45,57.1,51.11
55.77272727272727,52.236363636363635,48.27272727272727
65.04,60.0,53.07
108.66,100.11,88.81
127.73,112.12,97.44
103.28,86.33,76.31
150.52,134.41,124.62
212.9,205.9909090909091,192.0
238.45,231.54,211.74
175.08,157.53,128.66
137.24,123.51,105.34
201.28,190.24,96.78
209.03,175.32,63.89
156.9,132.57272727272726,80.26363636363637
185.55,132.08,66.59
194.28,158.98,82.78
143.8,123.11,67.72
144.36,126.35,92.4
106.38,90.29,65.56
201.4,147.54,31.73
181.79090909090908,165.02727272727273,150.36363636363637
188.85,171.89,158.2
160.53,142.26,126.09
154.91,137.42,121.29
167.08,151.84,134.42
177.67,164.84,147.69
184.57272727272726,174.96363636363637,157.78181818181818
191.25,183.11,164.92
200.38,191.47,173.0
203.42,193.0,175.07
211.15,199.03,184.18
216.02,206.43,194.24
226.6727272727273,219.02727272727273,203.01818181818183
198.43,183.72,159.11
152.67,129.43,101.87
168.53,155.42,133.75
118.24,114.12,72.77
113.26,97.29,47.76
116.72727272727273,93.04545454545455,63.372727272727275
73.1,45.02,27.03
137.89,93.26,39.43
204.32,182.28,114.49
229.98,218.05,153.29
160.68,136.97,84.39
206.34,139.08,24.96
205.87272727272727,196.0,182.87272727272727
222.56,213.43,201.55
201.09,187.22,173.57
190.44,176.85,160.65
191.83,178.76,162.3
188.55,176.25,159.65
191.6,179.78181818181818,163.6818181818182
197.59,186.03,169.95
201.59,189.11,173.43
205.03,194.57,178.08
217.44,206.2,192.12
223.24,214.2,200.23
193.8090909090909,179.8909090909091,154.48181818181817
158.9,133.69,106.17
204.53,182.41,143.07
186.46,174.28,143.59
208.53,185.61,143.65
142.34,106.0,66.07
100.85454545454546,97.19090909090909,95.53636363636363
81.64,80.94,75.13
187.84,177.86,94.56
114.43,112.85,68.59
136.26,129.74,63.32
120.78,114.38,78.47
210.48,154.49,33.02
192.44545454545454,174.3909090909091,158.44545454545454
236.79,227.34,217.11
233.59,223.59,213.59
218.63,208.81,198.63
217.18,208.16,196.88
218.52,211.32,197.32
217.0818181818182,209.5909090909091,195.73636363636365
219.25,210.87,197.68
220.95,210.59,200.12
226.41,217.95,207.03
