R,G,B
112.1,115.49,98.31
90.79,102.0,86.78
76.77272727272727,95.66363636363636,84.23636363636363
69.62,92.15,81.83
72.43,85.44,77.46
70.69,83.72,74.84
71.82,87.4,76.38
64.14,81.78,71.39
69.22,87.14,73.92
108.25,120.32,103.41
249.55454545454546,251.36363636363637,229.4181818181818
249.61,251.7,229.6
249.9,251.9,229.9
249.83,251.83,229.15
249.99,251.99,230.31
250.0,252.0,230.0
250.0,252.0,230.0
250.0,252.0,230.0
250.0,252.0,230.0
250.0,252.0,230.0
250.0,252.0,230.06
249.87,251.88,228.65
247.51,250.38,218.53
240.25,237.41,205.71
213.9181818181818,209.15454545454546,184.21818181818182
178.86,180.7,161.57
148.88,155.37,141.27
122.93,140.94,122.17
114.46,124.46,105.59
112.43,118.69,103.9
85.45,99.25,91.54
67.16363636363636,91.07272727272728,84.37272727272727
60.99,87.06,79.95
71.03,90.27,81.02
86.82,101.56,87.7
63.44,85.17,69.05
65.36,84.98,71.82
101.27,113.74,96.27
145.88,152.51,128.71
248.54545454545453,249.6818181818182,227.96363636363637
248.4,249.07,227.47
250.02,252.01,230.02
249.83,251.83,229.83
250.0,252.0,230.0
250.0,252.0,230.0
250.0,252.0,230.0
250.0,252.0,230.0
250.0,252.0,230.0
250.0,252.0,230.02
249.99,251.99,229.93
249.13,251.71,227.03
245.23,246.9,216.35
236.46,229.48,197.47
211.55454545454546,198.94545454545454,173.63636363636363
185.17,179.79,159.62
156.18,159.97,141.84
129.25,144.06,126.51
112.7,124.77,113.19
98.9,112.82,100.98
86.05,102.82,92.81
71.71818181818182,91.39090909090909,83.6
64.72,86.65,77.48
69.77,88.16,81.24
69.89,89.56,78.81
66.59,87.58,72.56
60.88,79.37,67.6
60.95,77.44,67.67
99.66,111.75,92.22
249.72727272727272,251.07272727272726,229.24545454545455
249.62,251.4,229.26
250.32,251.82,229.85
250.5,251.78,230.04
249.96,251.96,230.02
249.98,251.98,229.98
250.0,252.0,230.0
250.0,252.0,230.0
250.0,252.0,230.0
250.04,252.04,230.22
249.68,251.69,228.94
247.29,250.37,221.8
238.1,235.04,208.22
224.05,215.16,191.89
207.28181818181818,204.76363636363635,183.76363636363635
161.16,165.26,146.4
139.82,147.31,128.25
123.4,134.46,119.78
106.3,119.06,107.16
90.29,110.49,97.72
81.67,102.09,88.14
73.95454545454545,93.2,78.76363636363637
69.17,86.96,74.06
69.89,85.73,75.67
68.83,85.76,76.58
68.32,83.93,72.49
59.15,78.44,65.94
66.02,85.86,73.04
126.98,134.82,111.9
246.95454545454547,242.8272727272727,222.87272727272727
247.28,241.44,220.97
248.76,248.21,224.13
248.94,251.09,225.82
249.44,251.9,228.53
249.98,251.98,229.98
250.0,252.0,230.0
250.0,252.0,230.0
249.97,251.97,229.97
249.82,252.18,230.0
249.24,251.84,228.38
247.49,250.48,224.55
232.59,230.11,203.19
203.67,203.69,181.4
174.62727272727273,180.27272727272728,160.14545454545456
147.63,156.26,136.93
144.88,153.41,134.14
127.54,139.83,119.27
105.24,121.74,103.26
87.71,104.26,90.42
74.31,93.42,77.73
67.84545454545454,90.2909090909091,75.21818181818182
62.96,80.45,69.36
68.2,82.5,74.13
66.48,81.58,74.42
52.68,69.39,59.16
57.12,78.93,69.08
56.57,80.09,68.39
61.06,80.68,66.8
242.0909090909091,223.1090909090909,208.71818181818182
248.11,238.67,217.98
248.42,244.78,221.36
248.07,245.04,221.15
248.04,249.53,224.9
247.78,250.34,224.82
249.41,251.8,227.55
249.15454545454546,251.7,227.36363636363637
247.55,250.28,224.85
247.02,248.6,222.04
241.08,239.73,215.14
227.78,222.04,199.53
197.54,194.44,171.6
175.93,173.19,152.58
157.3090909090909,164.54545454545453,142.77272727272728
138.58,150.58,129.77
119.95,134.58,113.36
106.02,122.61,101.54
87.07,104.2,86.46
82.91,98.66,85.54
77.0,93.78,83.41
65.78181818181818,85.19090909090909,72.00909090909092
62.94,80.59,68.62
56.53,70.79,61.67
48.54,65.04,57.49
46.1,68.78,59.95
49.24,71.24,63.25
46.5,67.78,59.22
66.04,85.48,71.79
245.38181818181818,240.6727272727273,221.5
244.9,238.11,218.16
247.6,243.69,221.44
247.92,244.5,221.84
249.43,248.93,225.77
249.23,251.03,227.65
248.81,251.56,226.63
249.4,251.51818181818183,226.3181818181818
246.49,248.11,221.63
246.34,246.94,220.94
232.99,229.16,205.69
219.96,217.55,195.51
181.61,186.9,162.47
169.54,170.2,145.94
146.70909090909092,150.83636363636364,131.0
120.25,135.25,119.17
109.36,126.16,108.14
94.92,114.17,93.48
81.82,101.75,84.09
71.63,92.35,76.23
70.18,87.58,74.57
74.91818181818182,91.11818181818182,77.25454545454545
59.77,80.0,69.0
55.52,74.46,67.0
58.32,74.93,66.76
55.28,71.14,63.23
43.78,61.24,57.47
38.29,57.58,54.88
33.66,54.4,51.64
