R,G,B
128.28,254.88,252.48
129.07,254.94,251.59
128.48,237.02,231.23
128.42727272727274,245.11818181818182,241.83636363636364
128.08,245.73,238.53
128.91,240.53,231.78
126.52,205.33,203.9
127.65,235.43,227.39
129.23,239.6,227.2
127.57,234.83,221.29
128.51,225.13,216.29
127.99,210.45,201.2
129.59,174.45,173.55
127.53636363636363,163.03636363636363,164.64545454545456
127.66,178.11,176.84
129.36,223.96,213.2
126.31,179.24,173.96
124.53,153.96,156.32
125.43,157.3,158.89
122.5,148.21,151.91
117.23,139.23,143.93
114.87,135.87,140.87
121.93636363636364,145.20909090909092,149.61818181818182
124.3,149.3,153.3
119.83,143.83,147.83
124.8,152.87,155.2
119.38,143.93,143.11
112.73,129.68,133.69
110.27,123.97,132.27
115.93,134.53,140.73
123.79,147.65,149.2
128.83,176.25,169.88
127.83636363636364,175.66363636363636,165.13636363636363
127.81,164.91,157.42
127.35,157.53,151.79
124.96,150.29,146.64
127.68,185.92,173.7
121.03,140.8,138.72
126.91,176.91,167.55
120.62,145.47,140.54
117.48,138.4,137.1
126.3,153.9181818181818,146.77272727272728
111.84,123.54,125.74
109.27,117.3,122.93
121.09,142.6,138.27
115.5,127.25,125.98
106.94,115.45,118.23
104.66,113.73,116.53
114.82,127.42,127.19
118.7,134.09,129.14
116.84,130.67,125.97
102.27272727272727,107.37272727272727,114.1
96.13,95.63,108.43
89.79,88.79,104.79
89.75,89.2,103.0
89.19,88.44,102.84
88.05,87.05,101.05
85.04,82.94,95.7
77.41,60.79,70.55
62.57,31.79,34.78
69.51818181818182,43.08181818181818,53.30909090909091
72.98,51.78,65.3
79.01,66.37,75.44
81.65,72.05,84.98
68.08,37.03,42.67
62.41,30.04,37.55
60.85,18.36,25.16
60.05,19.82,24.69
61.32,21.51,24.48
55.77,11.44,11.75
128.3272727272727,205.1727272727273,207.20909090909092
128.53,217.66,224.02
